Name,Role,Department,Organization,Email,Contact
Damini Dora,HOD,Mechanical,CDI College,damini.dora@cdicollege.com,+91 9365882213
Riaan Banerjee,Analyst,Sales,NFIB Technologies,riaan.banerjee@nfibtechnologies.com,+91 9668361262
Vivaan Sibal,Assistant Professor,IT,CDI College,vivaan.sibal@cdicollege.com,+91 9302283825
Nakul Agarwal,Intern,Support,NFIB Technologies,nakul.agarwal@nfibtechnologies.com,+91 9852561030
Tanya Thakur,Administrator,ECE,CDI College,tanya.thakur@cdicollege.com,+91 9241845330
Hansh Thakkar,HR Executive,Marketing,NFIB Technologies,hansh.thakkar@nfibtechnologies.com,+91 9638578509
Rohan Mane,Principal,Electronics,CDI College,rohan.mane@cdicollege.com,+91 9198003096
Stuvan Korpal,Intern,HR,NFIB Technologies,stuvan.korpal@nfibtechnologies.com,+91 9621510172
Manjari Dey,Professor,Mechanical,CDI College,manjari.dey@cdicollege.com,+91 9175779130
Alisha Dugar,Intern,HR,NFIB Technologies,alisha.dugar@nfibtechnologies.com,+91 9259749416
Zeeshan Deshmukh,Assistant Professor,IT,CDI College,zeeshan.deshmukh@cdicollege.com,+91 9216035367
Tiya Tella,Team Lead,Finance,NFIB Technologies,tiya.tella@nfibtechnologies.com,+91 9861125618
Tiya Venkatesh,Principal,ECE,CDI College,tiya.venkatesh@cdicollege.com,+91 9073927581
Inaaya  Sane,HR Executive,Support,NFIB Technologies,inaaya..sane@nfibtechnologies.com,+91 9098952449
Ahana  Borah,HOD,IT,CDI College,ahana..borah@cdicollege.com,+91 9506626151
Shaan Varty,Manager,Finance,NFIB Technologies,shaan.varty@nfibtechnologies.com,+91 9863612363
Divij Bhardwaj,Principal,Chemistry,CDI College,divij.bhardwaj@cdicollege.com,+91 9922593709
Vardaniya Dutta,HR Executive,Sales,NFIB Technologies,vardaniya.dutta@nfibtechnologies.com,+91 9929589983
Pari Kuruvilla,Lab Assistant,Computer Science,CDI College,pari.kuruvilla@cdicollege.com,+91 9630209940
Saksham Kashyap,Team Lead,HR,NFIB Technologies,saksham.kashyap@nfibtechnologies.com,+91 9697473031
Sara Bedi,Assistant Professor,Electronics,CDI College,sara.bedi@cdicollege.com,+91 9747946993
Prisha Bhasin,Software Engineer,Finance,NFIB Technologies,prisha.bhasin@nfibtechnologies.com,+91 9464471612
Saira Dubey,Dean,Physics,CDI College,saira.dubey@cdicollege.com,+91 9380683206
Miraan Bhardwaj,Software Engineer,R&D,NFIB Technologies,miraan.bhardwaj@nfibtechnologies.com,+91 9711885046
Mannat Handa,Dean,Physics,CDI College,mannat.handa@cdicollege.com,+91 9745819335
Diya Borde,Consultant,R&D,NFIB Technologies,diya.borde@nfibtechnologies.com,+91 9436404154
Kismat Sami,Lab Assistant,Chemistry,CDI College,kismat.sami@cdicollege.com,+91 9479217432
Dishani Cheema,HR Executive,Sales,NFIB Technologies,dishani.cheema@nfibtechnologies.com,+91 9233328420
Ishaan Sampath,Assistant Professor,Civil,CDI College,ishaan.sampath@cdicollege.com,+91 9383319376
Nishith Bhattacharyya,Manager,Data Analytics,NFIB Technologies,nishith.bhattacharyya@nfibtechnologies.com,+91 9078105269
Heer Chhabra,Assistant Professor,Electronics,CDI College,heer.chhabra@cdicollege.com,+91 9303156511
Raghav Bawa,Software Engineer,Marketing,NFIB Technologies,raghav.bawa@nfibtechnologies.com,+91 9050975905
Akarsh Bahl,Lab Assistant,Computer Science,CDI College,akarsh.bahl@cdicollege.com,+91 9907954789
Adira Kaul,Manager,Software Development,NFIB Technologies,adira.kaul@nfibtechnologies.com,+91 9384804309
Piya Viswanathan,Lab Assistant,MBA,CDI College,piya.viswanathan@cdicollege.com,+91 9317700804
Rati Kant,Team Lead,Software Development,NFIB Technologies,rati.kant@nfibtechnologies.com,+91 9848719506
Mannat Rout,Administrator,Chemistry,CDI College,mannat.rout@cdicollege.com,+91 9331934524
Elakshi Rastogi,Software Engineer,R&D,NFIB Technologies,elakshi.rastogi@nfibtechnologies.com,+91 9234131360
Samiha Sami,Administrator,Electronics,CDI College,samiha.sami@cdicollege.com,+91 9225854055
Shayak Rau,Consultant,HR,NFIB Technologies,shayak.rau@nfibtechnologies.com,+91 9895642577
Miraya Krishnan,Assistant Professor,Physics,CDI College,miraya.krishnan@cdicollege.com,+91 9325612173
Manikya Mane,Software Engineer,Marketing,NFIB Technologies,manikya.mane@nfibtechnologies.com,+91 9817683100
Vidur Sankar,Lab Assistant,MBA,CDI College,vidur.sankar@cdicollege.com,+91 9598521867
Himmat Bhandari,Manager,HR,NFIB Technologies,himmat.bhandari@nfibtechnologies.com,+91 9269303544
Ahana  Dora,Administrator,Chemistry,CDI College,ahana..dora@cdicollege.com,+91 9239042144
Aarna Ahuja,Manager,Sales,NFIB Technologies,aarna.ahuja@nfibtechnologies.com,+91 9710391719
Hunar Dube,Lab Assistant,Mechanical,CDI College,hunar.dube@cdicollege.com,+91 9990688088
Kiara Bhardwaj,Consultant,Software Development,NFIB Technologies,kiara.bhardwaj@nfibtechnologies.com,+91 9926281118
Arhaan Chakraborty,Dean,Computer Science,CDI College,arhaan.chakraborty@cdicollege.com,+91 9213004681
Urvi Banik,Manager,Support,NFIB Technologies,urvi.banik@nfibtechnologies.com,+91 9461795928
Nitya Sawhney,Dean,Chemistry,CDI College,nitya.sawhney@cdicollege.com,+91 9029720136
Siya Krishnan,Consultant,R&D,NFIB Technologies,siya.krishnan@nfibtechnologies.com,+91 9554725306
Taran Sandhu,Professor,MBA,CDI College,taran.sandhu@cdicollege.com,+91 9563844971
Sumer Dar,Team Lead,R&D,NFIB Technologies,sumer.dar@nfibtechnologies.com,+91 9342090235
Yashvi Kamdar,Administrator,Civil,CDI College,yashvi.kamdar@cdicollege.com,+91 9775708233
Trisha Saraf,Analyst,Software Development,NFIB Technologies,trisha.saraf@nfibtechnologies.com,+91 9871439345
Rohan Walia,Lab Assistant,Mechanical,CDI College,rohan.walia@cdicollege.com,+91 9499302930
Vihaan Rama,Analyst,HR,NFIB Technologies,vihaan.rama@nfibtechnologies.com,+91 9548567742
Myra Kade,Principal,MBA,CDI College,myra.kade@cdicollege.com,+91 9724450398
Anahi Guha,Software Engineer,R&D,NFIB Technologies,anahi.guha@nfibtechnologies.com,+91 9102154135
Mishti Kalita,Lab Assistant,ECE,CDI College,mishti.kalita@cdicollege.com,+91 9576215669
Nirvi Loyal,Software Engineer,Marketing,NFIB Technologies,nirvi.loyal@nfibtechnologies.com,+91 9360689046
Fateh Dash,Professor,ECE,CDI College,fateh.dash@cdicollege.com,+91 9318021039
Ivan Sami,Consultant,Sales,NFIB Technologies,ivan.sami@nfibtechnologies.com,+91 9011308497
Anika Raju,Principal,Mechanical,CDI College,anika.raju@cdicollege.com,+91 9428858677
Rania Thakkar,Manager,HR,NFIB Technologies,rania.thakkar@nfibtechnologies.com,+91 9098066054
Heer Kakar,Dean,Mechanical,CDI College,heer.kakar@cdicollege.com,+91 9600145902
Mohanlal Bath,Software Engineer,R&D,NFIB Technologies,mohanlal.bath@nfibtechnologies.com,+91 9109768126
Parinaaz Sachdev,HOD,Computer Science,CDI College,parinaaz.sachdev@cdicollege.com,+91 9086568412
Amani Swamy,HR Executive,Marketing,NFIB Technologies,amani.swamy@nfibtechnologies.com,+91 9628354752
Shamik Chowdhury,Professor,Physics,CDI College,shamik.chowdhury@cdicollege.com,+91 9981007601
Stuvan Shere,Analyst,Sales,NFIB Technologies,stuvan.shere@nfibtechnologies.com,+91 9179565467
Mishti Savant,Principal,MBA,CDI College,mishti.savant@cdicollege.com,+91 9787892950
Bhavin Bali,Consultant,Software Development,NFIB Technologies,bhavin.bali@nfibtechnologies.com,+91 9104334832
