1. Damini Dora | HOD | Mechanical | CDI College | damini.dora@cdicollege.com | +91 9365882213
2. Riaan Banerjee | Analyst | Sales | NFIB Technologies | riaan.banerjee@nfibtechnologies.com | +91 9668361262
3. Vivaan Sibal | Assistant Professor | IT | CDI College | vivaan.sibal@cdicollege.com | +91 9302283825
4. Nakul Agarwal | Intern | Support | NFIB Technologies | nakul.agarwal@nfibtechnologies.com | +91 9852561030
5. Tanya Thakur | Administrator | ECE | CDI College | tanya.thakur@cdicollege.com | +91 9241845330
6. Hansh Thakkar | HR Executive | Marketing | NFIB Technologies | hansh.thakkar@nfibtechnologies.com | +91 9638578509
7. Rohan Mane | Principal | Electronics | CDI College | rohan.mane@cdicollege.com | +91 9198003096
8. Stuvan Korpal | Intern | HR | NFIB Technologies | stuvan.korpal@nfibtechnologies.com | +91 9621510172
9. Manjari Dey | Professor | Mechanical | CDI College | manjari.dey@cdicollege.com | +91 9175779130
10. Alisha Dugar | Intern | HR | NFIB Technologies | alisha.dugar@nfibtechnologies.com | +91 9259749416
11. Zeeshan Deshmukh | Assistant Professor | IT | CDI College | zeeshan.deshmukh@cdicollege.com | +91 9216035367
12. Tiya Tella | Team Lead | Finance | NFIB Technologies | tiya.tella@nfibtechnologies.com | +91 9861125618
13. Tiya Venkatesh | Principal | ECE | CDI College | tiya.venkatesh@cdicollege.com | +91 9073927581
14. Inaaya  Sane | HR Executive | Support | NFIB Technologies | inaaya..sane@nfibtechnologies.com | +91 9098952449
15. Ahana  Borah | HOD | IT | CDI College | ahana..borah@cdicollege.com | +91 9506626151
16. Shaan Varty | Manager | Finance | NFIB Technologies | shaan.varty@nfibtechnologies.com | +91 9863612363
17. Divij Bhardwaj | Principal | Chemistry | CDI College | divij.bhardwaj@cdicollege.com | +91 9922593709
18. Vardaniya Dutta | HR Executive | Sales | NFIB Technologies | vardaniya.dutta@nfibtechnologies.com | +91 9929589983
19. Pari Kuruvilla | Lab Assistant | Computer Science | CDI College | pari.kuruvilla@cdicollege.com | +91 9630209940
20. Saksham Kashyap | Team Lead | HR | NFIB Technologies | saksham.kashyap@nfibtechnologies.com | +91 9697473031
21. Sara Bedi | Assistant Professor | Electronics | CDI College | sara.bedi@cdicollege.com | +91 9747946993
22. Prisha Bhasin | Software Engineer | Finance | NFIB Technologies | prisha.bhasin@nfibtechnologies.com | +91 9464471612
23. Saira Dubey | Dean | Physics | CDI College | saira.dubey@cdicollege.com | +91 9380683206
24. Miraan Bhardwaj | Software Engineer | R&D | NFIB Technologies | miraan.bhardwaj@nfibtechnologies.com | +91 9711885046
25. Mannat Handa | Dean | Physics | CDI College | mannat.handa@cdicollege.com | +91 9745819335
26. Diya Borde | Consultant | R&D | NFIB Technologies | diya.borde@nfibtechnologies.com | +91 9436404154
27. Kismat Sami | Lab Assistant | Chemistry | CDI College | kismat.sami@cdicollege.com | +91 9479217432
28. Dishani Cheema | HR Executive | Sales | NFIB Technologies | dishani.cheema@nfibtechnologies.com | +91 9233328420
29. Ishaan Sampath | Assistant Professor | Civil | CDI College | ishaan.sampath@cdicollege.com | +91 9383319376
30. Nishith Bhattacharyya | Manager | Data Analytics | NFIB Technologies | nishith.bhattacharyya@nfibtechnologies.com | +91 9078105269
31. Heer Chhabra | Assistant Professor | Electronics | CDI College | heer.chhabra@cdicollege.com | +91 9303156511
32. Raghav Bawa | Software Engineer | Marketing | NFIB Technologies | raghav.bawa@nfibtechnologies.com | +91 9050975905
33. Akarsh Bahl | Lab Assistant | Computer Science | CDI College | akarsh.bahl@cdicollege.com | +91 9907954789
34. Adira Kaul | Manager | Software Development | NFIB Technologies | adira.kaul@nfibtechnologies.com | +91 9384804309
35. Piya Viswanathan | Lab Assistant | MBA | CDI College | piya.viswanathan@cdicollege.com | +91 9317700804
36. Rati Kant | Team Lead | Software Development | NFIB Technologies | rati.kant@nfibtechnologies.com | +91 9848719506
37. Mannat Rout | Administrator | Chemistry | CDI College | mannat.rout@cdicollege.com | +91 9331934524
38. Elakshi Rastogi | Software Engineer | R&D | NFIB Technologies | elakshi.rastogi@nfibtechnologies.com | +91 9234131360
39. Samiha Sami | Administrator | Electronics | CDI College | samiha.sami@cdicollege.com | +91 9225854055
40. Shayak Rau | Consultant | HR | NFIB Technologies | shayak.rau@nfibtechnologies.com | +91 9895642577
41. Miraya Krishnan | Assistant Professor | Physics | CDI College | miraya.krishnan@cdicollege.com | +91 9325612173
42. Manikya Mane | Software Engineer | Marketing | NFIB Technologies | manikya.mane@nfibtechnologies.com | +91 9817683100
43. Vidur Sankar | Lab Assistant | MBA | CDI College | vidur.sankar@cdicollege.com | +91 9598521867
44. Himmat Bhandari | Manager | HR | NFIB Technologies | himmat.bhandari@nfibtechnologies.com | +91 9269303544
45. Ahana  Dora | Administrator | Chemistry | CDI College | ahana..dora@cdicollege.com | +91 9239042144
